Positive	Negative	Text	Explanation
2	-1	2.x: fix flatMap not cancelling the upstream eagerly (#5133) 	2 .[sentence: 1,-1] x[2]:fix flatMap not cancelling[-2][=0 negation]the upstream eagerly (#5133 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	1.x: reduce stack depth with switchIfEmpty (#5125) * 1.x: reduce stack depth with switchIfEmpty * Use source as the indication of first/second phase 	1 .[sentence: 1,-1] x[2]:reduce stack depth with switchIfEmpty (#5125 )*1 .[sentence: 2,-1] x[2]:reduce stack depth with switchIfEmpty *Use source[-2]as the indication of first /second phase [sentence: 2,-2] [result: max + and - of any sentence]
2	-3	2.x: add ParallelFlowable.sequentialDelayError (#5117) * 2.x: add ParallelFlowable.sequentialDelayError * Fix javadoc, make sure failed rails are ignored. 	2 .[sentence: 1,-1] x[2]:add ParallelFlowable .[sentence: 2,-1] sequentialDelayError (#5117 )*2 .[sentence: 1,-1] x[2]:add ParallelFlowable .[sentence: 2,-1] sequentialDelayError *Fix javadoc ,make sure failed[-3]rails are ignored .[sentence: 1,-3] [result: max + and - of any sentence]
2	-1	2.x: improve coverage, remove unused code (#5119) 	2 .[sentence: 1,-1] x[2]:improve[2]coverage ,remove unused code (#5119 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: fix Observable.zip to dispose eagerly (#5121) 	2 .[sentence: 1,-1] x[2]:fix Observable .[sentence: 2,-1] zip to dispose[-2]eagerly (#5121 )[sentence: 1,-2] [result: max + and - of any sentence]
2	-2	2.x: fix Obs.combineLatest to dispose eagerly (#5114) 	2 .[sentence: 1,-1] x[2]:fix Obs .[sentence: 2,-1] combineLatest to dispose[-2]eagerly (#5114 )[sentence: 1,-2] [result: max + and - of any sentence]
2	-1	2.x: Flowable as a Publisher to be fully RS compliant (#5112) 	2 .[sentence: 1,-1] x[2]:Flowable as a Publisher to be fully RS compliant (#5112 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: fix scan(seed, f) to emit accumulated values asap (#5090) 	2 .[sentence: 1,-1] x[2]:fix scan (seed ,f )to emit accumulated values[2]asap (#5090 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	1.x: create+subscribeOn avoid same-pool deadlock (#5091) 	1 .[sentence: 1,-1] x[2]:create +subscribeOn avoid[-2]same -pool deadlock[-2](#5091 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	1.x: deprecate create(), add alternatives (#5086) 	1 .[sentence: 1,-1] x[2]:deprecate create (),add alternatives (#5086 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-3	2.x: option to fail for using blockingX on the computation scheduler (#5020) * 2.x: option to fail for using blockingX on the computation scheduler * Increase sleep time in XFlatMapTest * Add a custom RxJavaPlugins callback onBeforeBlocking 	2 .[sentence: 1,-1] x[2]:option to fail[-3]for using blockingX[-2]on the computation scheduler (#5020 )*2 .[sentence: 2,-3] x[2]:option to fail[-3]for using blockingX[-2]on the computation scheduler *Increase sleep time in XFlatMapTest *Add a custom RxJavaPlugins callback onBeforeBlocking [sentence: 2,-3] [result: max + and - of any sentence]
2	-1	2.x: improve the parallel() mode test coverage, improve its code (#5006) 	2 .[sentence: 1,-1] x[2]:improve[2]the parallel ()mode test coverage ,improve[2]its code (#5006 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	Improve compose() generics (#4972) Resolves #4950 	Improve[2]compose ()generics (#4972 )Resolves[2]#4950 [sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: add strict() operator for strong RS conformance (#4966) * 2.x: add strict() operator for strong RS conformance * Fix javadoc and annotation 	2 .[sentence: 1,-1] x[2]:add strict[-2]()operator for strong RS conformance (#4966 )*2 .[sentence: 2,-2] x[2]:add strict[-2]()operator for strong RS conformance *Fix javadoc and annotation [sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: add sample() overload that can emit the very last buffered item (#4955) 	2 .[sentence: 1,-1] x[2]:add sample ()overload that can emit the very last buffered item (#4955 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: fix timer() ISE due to bad resource mgmt (#4927) 	2 .[sentence: 1,-1] x[2]:fix timer ()ISE due to bad[-2]resource mgmt (#4927 )[sentence: 2,-2] [result: max + and - of any sentence]
1	-1	FlowableScan - prevent multiple terminal emissions (#4901) 	FlowableScan -prevent multiple terminal emissions (#4901 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	1.x: enable TestScheduler with nanosecond periodic scheduling (#4884) 	1 .[sentence: 1,-1] x[2]:enable TestScheduler with nanosecond periodic scheduling (#4884 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: Common test classes for Processors. (#4882) 	2 .[sentence: 1,-1] x[2]:Common test classes for Processors .[sentence: 2,-1] (#4882 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	1.x: add Single.fromEmitter 	1 .[sentence: 1,-1] x[2]:add Single .[sentence: 2,-1] fromEmitter [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	1.x: fix Completable.concat & merge hanging in async situations 	1 .[sentence: 1,-1] x[2]:fix Completable .[sentence: 2,-1] concat &merge hanging in async situations [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	1.x: remove ObjectPool, code style cleanups 	1 .[sentence: 1,-1] x[2]:remove ObjectPool ,code style cleanups [sentence: 2,-1] [result: max + and - of any sentence]
2	-2	Schedule when bug fix (#4826) * change tabs to spaces. * Fixing a bug in the subscription logic of the actions that caused work to get unsubscribed too early. Changed the code to delay the calling of onCompleted of the CompletableSubscriber until the actualAction is truly done. 	Schedule when bug[-2]fix (#4826 )*change tabs to spaces .[sentence: 1,-2] *Fixing a bug[-2]in the subscription logic of the actions that caused work to get unsubscribed too early .[sentence: 1,-2] Changed the code to delay[-2]the calling of onCompleted of the CompletableSubscriber until the actualAction is truly[2]done .[sentence: 2,-2] [result: max + and - of any sentence]
1	-1	Rename BackpressureStrategy.NONE to MISSING (#4767) 	Rename BackpressureStrategy .[sentence: 1,-1] NONE to MISSING (#4767 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: cleanup, fixes and coverage 10/25 (#4766) 	2 .[sentence: 1,-1] x[2]:cleanup ,fixes and coverage 10 /25 (#4766 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: cleanup & coverage 10/24-2 (#4763) 	2 .[sentence: 1,-1] x[2]:cleanup &coverage 10 /24 -2 (#4763 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: cleanup, fixes, coverage 10/24-1 (#4761) * 2.x: cleanup, fixes, coverage 10/24-1 * Add missing default method. 	2 .[sentence: 1,-1] x[2]:cleanup ,fixes ,coverage 10 /24 -1 (#4761 )*2 .[sentence: 2,-1] x[2]:cleanup ,fixes ,coverage 10 /24 -1 *Add missing default[-2]method .[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: coverage, fixes, cleanup 10/21-1 (#4742) 	2 .[sentence: 1,-1] x[2]:coverage ,fixes ,cleanup 10 /21 -1 (#4742 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, fixes, cleanup 10/20-2 (#4738) * 2.x: coverage, fixes, cleanup 10/20-2 * Fix Generate not saving the state 	2 .[sentence: 1,-1] x[2]:coverage ,fixes ,cleanup 10 /20 -2 (#4738 )*2 .[sentence: 2,-1] x[2]:coverage ,fixes ,cleanup 10 /20 -2 *Fix Generate not saving the state [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: cleanup, fixes, coverage 10/20-1 (#4736) 	2 .[sentence: 1,-1] x[2]:cleanup ,fixes ,coverage 10 /20 -1 (#4736 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, minor fixes, cleanup 10/19-2 (#4732) 	2 .[sentence: 1,-1] x[2]:coverage ,minor fixes ,cleanup 10 /19 -2 (#4732 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, fixes, cleanup, copy to Flowable 10/19-1 (#4730) 	2 .[sentence: 1,-1] x[2]:coverage ,fixes ,cleanup ,copy to Flowable 10 /19 -1 (#4730 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, fixes, enhancements, cleanup 10/18-1 (#4723) 	2 .[sentence: 1,-1] x[2]:coverage ,fixes ,enhancements ,cleanup 10 /18 -1 (#4723 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage and cleanup 10/17-1 (#4717) 	2 .[sentence: 1,-1] x[2]:coverage and cleanup 10 /17 -1 (#4717 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: test sync from Observable to Flowable 10/16-1 (#4714) 	2 .[sentence: 1,-1] x[2]:test sync from Observable to Flowable 10 /16 -1 (#4714 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, cleanup, fixes 10/15-2 (#4712) * 2.x: coverage, cleanup, fixes 10/15-2 * Add missing header 	2 .[sentence: 1,-1] x[2]:coverage ,cleanup ,fixes 10 /15 -2 (#4712 )*2 .[sentence: 2,-1] x[2]:coverage ,cleanup ,fixes 10 /15 -2 *Add missing header [sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: coverage, fixes, cleanup 10/15-1 (#4708) * 2.x: coverage, fixes, cleanup 10/15-1 * Fix error message. 	2 .[sentence: 1,-1] x[2]:coverage ,fixes ,cleanup 10 /15 -1 (#4708 )*2 .[sentence: 2,-1] x[2]:coverage ,fixes ,cleanup 10 /15 -1 *Fix error[-2]message .[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: cleanup, coverage, fixes 10/14-2 (#4706) * 2.x: cleanup, coverage, fixes 10/14-2 * Fix NPEs 	2 .[sentence: 1,-1] x[2]:cleanup ,coverage ,fixes 10 /14 -2 (#4706 )*2 .[sentence: 2,-1] x[2]:cleanup ,coverage ,fixes 10 /14 -2 *Fix NPEs [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, cleanup fixes 10/14-1 (#4705) 	2 .[sentence: 1,-1] x[2]:coverage ,cleanup fixes 10 /14 -1 (#4705 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage and cleanup 10/13-1 (#4701) 	2 .[sentence: 1,-1] x[2]:coverage and cleanup 10 /13 -1 (#4701 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage and cleanup 10/12-1 (#4696) 	2 .[sentence: 1,-1] x[2]:coverage and cleanup 10 /12 -1 (#4696 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, fixes and cleanup 10/11-2 (#4692) 	2 .[sentence: 1,-1] x[2]:coverage ,fixes and cleanup 10 /11 -2 (#4692 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: BaseTestConsumer add assertValueAt(index, Predicate<T>) (#4690) 	2 .[sentence: 1,-1] x[2]:BaseTestConsumer add assertValueAt (index ,Predicate <T >)(#4690 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage and cleanup 10/11-1 (#4689) 	2 .[sentence: 1,-1] x[2]:coverage and cleanup 10 /11 -1 (#4689 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: cleanup and fixes 10/03-2 (#4663) 	2 .[sentence: 1,-1] x[2]:cleanup and fixes 10 /03 -2 (#4663 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: cleanup and coverage 10/03 (#4661) 	2 .[sentence: 1,-1] x[2]:cleanup and coverage 10 /03 (#4661 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	1.x: rework Single internals to reduce overhead and stack depth (#4648) * 1.x: rework Single internals to reduce overhead and stack depth * Remove auto-gen TODO, mark Single(Observable.OnSubscribe) deprecated 	1 .[sentence: 1,-1] x[2]:rework Single internals to reduce overhead and stack depth (#4648 )*1 .[sentence: 2,-1] x[2]:rework Single internals to reduce overhead and stack depth *Remove auto -gen TODO ,mark Single (Observable .[sentence: 2,-1] OnSubscribe )deprecated [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: Merge AmbArray and AmbIterable into Amb for Single, Maybe and Completable types (#4647) 	2 .[sentence: 1,-1] x[2]:Merge AmbArray and AmbIterable into Amb for Single ,Maybe and Completable types (#4647 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: improve performance of Observable.flatMapIterable (#4612) 	2 .[sentence: 1,-1] x[2]:improve[2]performance of Observable .[sentence: 2,-1] flatMapIterable (#4612 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: Factor out typical TestObserver/TestSubscriber methods (#4609) * 2.x: Factor out typical TestObserver/TestSubscriber methods * Move BaseTestConsumer into the public so its javadoc is available 	2 .[sentence: 1,-1] x[2]:Factor out typical TestObserver /TestSubscriber methods (#4609 )*2 .[sentence: 2,-1] x[2]:Factor out typical TestObserver /TestSubscriber methods *Move BaseTestConsumer into the public so its javadoc is available [sentence: 2,-1] [result: max + and - of any sentence]
1	-1	rename AsyncEmitter to Emitter (#4580) 	rename AsyncEmitter to Emitter (#4580 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: convert the Observable operators to return Single/Maybe (#4579) 	2 .[sentence: 1,-1] x[2]:convert the Observable operators to return Single /Maybe (#4579 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: count, elementAt, ingoreElements, last, single, reduce, reduceWith (#4576) to return non-Flowable 	2 .[sentence: 1,-1] x[2]:count ,elementAt ,ingoreElements ,last ,single ,reduce ,reduceWith (#4576 )to return non -Flowable [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: last() to return Single (#4570) 	2 .[sentence: 1,-1] x[2]:last ()to return Single (#4570 )[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	1.2 preparation cleanup and Experimental/Beta/Deprecated adjustments (#4549) 	1 .[sentence: 1,-1] 2 preparation cleanup and Experimental /Beta /Deprecated adjustments (#4549 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: make internal naming consistent, refactor some classes 9/14-2 (#4554) 	2 .[sentence: 1,-1] x[2]:make internal naming consistent ,refactor some classes 9 /14 -2 (#4554 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: cleanup of style and other minor things, 9/14-1 (#4552) * 2.x: cleanup of style and other minor things, 9/14-1 * Disable the other checks 	2 .[sentence: 1,-1] x[2]:cleanup of style and other minor things ,9 /14 -1 (#4552 )*2 .[sentence: 2,-1] x[2]:cleanup of style and other minor things ,9 /14 -1 *Disable[-2]the other checks [sentence: 2,-2] [result: max + and - of any sentence]
2	-2	2.x: cleanup of some javadoc errors and mentions of 'Nbp' (#4542) 	2 .[sentence: 1,-1] x[2]:cleanup of some javadoc errors[-2]and mentions of 'Nbp '(#4542 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-2	2.x: Add missing Resource Observer for Maybe, Completable & Single and adjust some Javadoc (#4518) * 2.x: Add missing Resource Observer for Maybe, Completable & Single and adjust some Javadoc * Add empty test for Maybe * Remove cancel methods 	2 .[sentence: 1,-1] x[2]:Add missing Resource Observer for Maybe ,Completable &Single and adjust some Javadoc (#4518 )*2 .[sentence: 2,-1] x[2]:Add missing Resource Observer for Maybe ,Completable &Single and adjust some Javadoc *Add empty test for Maybe *Remove cancel[-2]methods [sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: cleanup and coverage 9/08-1 	2 .[sentence: 1,-1] x[2]:cleanup and coverage 9 /08 -1 [sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Replace `finallyDo` references with `doAfterTerminate` (#4502) 	Replace `finallyDo `references with `doAfterTerminate `(#4502 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: more Maybe operators, minor cleanups 9/07-1 (#4493) 	2 .[sentence: 1,-1] x[2]:more Maybe operators ,minor cleanups 9 /07 -1 (#4493 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: reduce blockingX overhead, move internal observers to common pkg (#4491) 	2 .[sentence: 1,-1] x[2]:reduce blockingX[-2]overhead ,move internal observers to common pkg (#4491 )[sentence: 2,-2] [result: max + and - of any sentence]
1	-1	rename emitters #isCancelled to #isDisposed (#4490) 	rename emitters #isCancelled to #isDisposed (#4490 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: Completable enhance doOnEvent to reduce allocations (#4486) 	2 .[sentence: 1,-1] x[2]:Completable enhance doOnEvent to reduce allocations (#4486 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage and fixes 9/03-2 (#4469) 	2 .[sentence: 1,-1] x[2]:coverage and fixes 9 /03 -2 (#4469 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, bugfixes, 9/03-1 (#4468) 	2 .[sentence: 1,-1] x[2]:coverage ,bugfixes ,9 /03 -1 (#4468 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: add more Maybe operators, fix a few javadoc mistakes (#4467) 	2 .[sentence: 1,-1] x[2]:add more Maybe operators ,fix a few javadoc mistakes[-2](#4467 )[sentence: 2,-2] [result: max + and - of any sentence]
1	-2	rename Observable and Single #doOnCancel to #doOnDispose (#4458) * rename Observable/Single #doOnCancel to #doOnDispose * align naming of Completable onDispose arguments * aligns javadoc 	rename Observable and Single #doOnCancel to #doOnDispose (#4458 )*rename Observable /Single #doOnCancel to #doOnDispose *align naming of Completable onDispose arguments[-2]*aligns javadoc [sentence: 1,-2] [result: max + and - of any sentence]
2	-1	2.x: start reimplementing Maybe with up-to-date javadoc, tests and algo (#4454) 	2 .[sentence: 1,-1] x[2]:start reimplementing Maybe with up -to -date javadoc ,tests and algo (#4454 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: fixes, cleanup, coverage 8/31-1 	2 .[sentence: 1,-1] x[2]:fixes ,cleanup ,coverage 8 /31 -1 [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	1.x: cleanup, javadoc, Completable.fromEmitter (#4442) 	1 .[sentence: 1,-1] x[2]:cleanup ,javadoc ,Completable .[sentence: 2,-1] fromEmitter (#4442 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: Subject/Processor improvements & small cleanup (#4437) 	2 .[sentence: 1,-1] x[2]:Subject /Processor improvements[2]&small cleanup (#4437 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: cleanup, behavior clarifications, fixes, coverage 8/28-1 (#4435) 	2 .[sentence: 1,-1] x[2]:cleanup ,behavior clarifications ,fixes ,coverage 8 /28 -1 (#4435 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: cleanup, bugfixes, coverage 8/27-2 (#4434) 	2 .[sentence: 1,-1] x[2]:cleanup ,bugfixes ,coverage 8 /27 -2 (#4434 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, fixes, cleanup 8/27-1 (#4431) 	2 .[sentence: 1,-1] x[2]:coverage ,fixes ,cleanup 8 /27 -1 (#4431 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x - collect - handle post-terminal events for Observable (#4428) 	2 .[sentence: 1,-1] x[2]-collect -handle post -terminal events for Observable (#4428 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: fixes, cleanups, renames (#4421) * 2.x: fixes, cleanups, renames * Rename a few more parameters 	2 .[sentence: 1,-1] x[2]:fixes ,cleanups ,renames (#4421 )*2 .[sentence: 2,-1] x[2]:fixes ,cleanups ,renames *Rename a few more parameters [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: add assembly tracking, minor fixes and cleanup (#4417) * 2.x: add assembly tracking, minor fixes and cleanup * Add missing header, add more time to test 	2 .[sentence: 1,-1] x[2]:add assembly tracking ,minor fixes and cleanup (#4417 )*2 .[sentence: 2,-1] x[2]:add assembly tracking ,minor fixes and cleanup *Add missing header ,add more time to test [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: API removals and renames (#4413) 	2 .[sentence: 1,-1] x[2]:API removals and renames (#4413 )[sentence: 2,-1] [result: max + and - of any sentence]
